year,transaction_count,months_observed,is_complete_year,first_month,latest_month,p25,p50,p75,p90
2017,20509,12,True,2017-01,2017-12,338000.000000,410000.000000,510000.000000,660000.000000
2018,21561,12,True,2018-01,2018-12,328000.000000,408000.000000,515888.000000,670000.000000
2019,22186,12,True,2019-01,2019-12,320000.000000,400000.000000,510000.000000,650000.000000
2020,23333,12,True,2020-01,2020-12,340000.000000,425000.000000,534000.000000,668000.000000
2021,29087,12,True,2021-01,2021-12,399000.000000,483000.000000,600000.000000,738000.000000
2022,26720,12,True,2022-01,2022-12,430000.000000,525000.000000,640000.000000,790000.000000
2023,25754,12,True,2023-01,2023-12,450000.000000,550000.000000,662000.000000,814666.400000
2024,27832,12,True,2024-01,2024-12,480000.000000,590000.000000,715000.000000,870000.000000
2025,25085,12,True,2025-01,2025-12,510000.000000,628000.000000,760000.000000,930000.000000
2026,17910,9,False,2026-01,2026-09,515000.000000,630000.000000,780000.000000,950000.000000
