year,rows_with_duplicates,median_with_duplicates,rows_without_duplicates,median_without_duplicates,rows_removed,median_difference_sgd,median_difference_pct
2017,20509,410000.000000,20337,410000.000000,172,0.000000,0.000000
2018,21561,408000.000000,21552,408000.000000,9,0.000000,0.000000
2019,22186,400000.000000,22168,400000.000000,18,0.000000,0.000000
2020,23333,425000.000000,23313,425000.000000,20,0.000000,0.000000
2021,29087,483000.000000,29057,483000.000000,30,0.000000,0.000000
2022,26720,525000.000000,26702,525000.000000,18,0.000000,0.000000
2023,25754,550000.000000,25740,550000.000000,14,0.000000,0.000000
2024,27832,590000.000000,27817,590000.000000,15,0.000000,0.000000
2025,25085,628000.000000,25072,628000.000000,13,0.000000,0.000000
2026,17910,630000.000000,17901,630000.000000,9,0.000000,0.000000
