town,transaction_count,million_dollar_transactions,million_dollar_share_pct,threshold_sgd
CENTRAL AREA,1864,390,20.922747,1000000.000000
BUKIT TIMAH,582,112,19.243986,1000000.000000
TOA PAYOH,7888,813,10.306795,1000000.000000
BISHAN,4174,424,10.158122,1000000.000000
QUEENSTOWN,6561,632,9.632678,1000000.000000
BUKIT MERAH,9131,672,7.359544,1000000.000000
KALLANG/WHAMPOA,7316,526,7.189721,1000000.000000
CLEMENTI,5301,297,5.602716,1000000.000000
SERANGOON,4212,147,3.490028,1000000.000000
ANG MO KIO,9680,318,3.285124,1000000.000000
GEYLANG,5960,176,2.953020,1000000.000000
MARINE PARADE,1458,40,2.743484,1000000.000000
BEDOK,12505,139,1.111555,1000000.000000
HOUGANG,12116,131,1.081215,1000000.000000
TAMPINES,16641,164,0.985518,1000000.000000
JURONG EAST,4854,42,0.865266,1000000.000000
PASIR RIS,6952,49,0.704833,1000000.000000
WOODLANDS,17097,104,0.608294,1000000.000000
BUKIT PANJANG,8527,26,0.304914,1000000.000000
YISHUN,16288,43,0.263998,1000000.000000
BUKIT BATOK,10257,23,0.224237,1000000.000000
SENGKANG,19423,29,0.149308,1000000.000000
PUNGGOL,17371,25,0.143918,1000000.000000
JURONG WEST,15723,0,0.000000,1000000.000000
CHOA CHU KANG,10776,0,0.000000,1000000.000000
SEMBAWANG,7320,0,0.000000,1000000.000000
