fold,training_start_month,training_end_month,test_start_month,test_end_month,training_rows,test_rows,model,mae,median_absolute_error,p90_absolute_error,rmse,r2,mape_pct,exact_segment_rows,town_fallback_rows,flat_type_fallback_rows,global_fallback_rows
1,2017-01,2022-08,2022-09,2023-08,134496,26359,training_median_baseline,159638.745185,118000.000000,365000.000000,213292.499446,-0.537254,25.100784,0,0,0,0
1,2017-01,2022-08,2022-09,2023-08,134496,26359,town_flat_type_median_baseline,127691.508956,108888.000000,245000.000000,155071.361711,0.187436,21.461963,26310,49,0,0
1,2017-01,2022-08,2022-09,2023-08,134496,26359,prior_12m_town_flat_type_median_baseline,76123.033833,50000.000000,180000.000000,109046.873723,0.598190,12.418640,26310,49,0,0
1,2017-01,2022-08,2022-09,2023-08,134496,26359,hedonic_ridge,57442.696075,49441.288141,113492.410644,72353.551096,0.823106,10.092120,0,0,0,0
2,2017-01,2023-08,2023-09,2024-08,160855,27743,training_median_baseline,174489.397814,130000.000000,395000.000000,231702.476511,-0.587353,26.037649,0,0,0,0
2,2017-01,2023-08,2023-09,2024-08,160855,27743,town_flat_type_median_baseline,141242.991793,122000.000000,268888.000000,170875.667373,0.136679,22.381519,27743,0,0,0
2,2017-01,2023-08,2023-09,2024-08,160855,27743,prior_12m_town_flat_type_median_baseline,73402.431804,46556.000000,178600.000000,110106.548324,0.641542,11.360289,27740,3,0,0
2,2017-01,2023-08,2023-09,2024-08,160855,27743,hedonic_ridge,47901.492984,37666.024796,100213.088109,64493.800499,0.877016,7.932791,0,0,0,0
3,2017-01,2024-08,2024-09,2025-08,188598,26275,training_median_baseline,201684.755965,155000.000000,445000.000000,264219.568912,-0.774774,27.527980,0,0,0,0
3,2017-01,2024-08,2024-09,2025-08,188598,26275,town_flat_type_median_baseline,168530.909867,147000.000000,313000.000000,199717.346512,-0.014016,24.746417,26275,0,0,0
3,2017-01,2024-08,2024-09,2025-08,188598,26275,prior_12m_town_flat_type_median_baseline,85731.061914,55000.000000,205888.000000,125363.734720,0.600463,12.254236,26275,0,0,0
3,2017-01,2024-08,2024-09,2025-08,188598,26275,hedonic_ridge,51201.697547,40470.932434,106319.675765,68016.551733,0.882391,7.897987,0,0,0,0
4,2017-01,2025-08,2025-09,2026-08,214873,24592,training_median_baseline,206276.375924,150888.000000,462000.000000,274221.240614,-0.653992,27.551544,0,0,0,0
4,2017-01,2025-08,2025-09,2026-08,214873,24592,town_flat_type_median_baseline,161755.226119,135000.000000,321000.000000,200895.859877,0.112286,22.634802,24592,0,0,0
4,2017-01,2025-08,2025-09,2026-08,214873,24592,prior_12m_town_flat_type_median_baseline,81890.215332,52000.000000,190888.000000,124087.109700,0.661324,11.916360,24592,0,0,0
4,2017-01,2025-08,2025-09,2026-08,214873,24592,hedonic_ridge,52844.014246,41608.949136,111584.419359,69634.987276,0.893344,8.225325,0,0,0,0
