model,slice_dimension,slice_value,observations,mae,median_absolute_error,p90_absolute_error,rmse,r2,mape_pct,mean_error
hedonic_ridge,flat_type,1 ROOM,9,16772.637152,13386.549437,29029.251477,19763.194958,-1.451020,6.537150,11137.538613
hedonic_ridge,flat_type,2 ROOM,750,28426.231098,22223.327324,61677.393650,36880.735328,0.434383,7.755087,5544.601082
hedonic_ridge,flat_type,3 ROOM,5790,43121.396077,34715.558812,90696.371313,55605.822943,0.776110,9.658665,12355.216186
hedonic_ridge,flat_type,4 ROOM,10817,52003.102068,41494.873624,108803.907767,67950.409425,0.844455,7.651952,12843.771957
hedonic_ridge,flat_type,5 ROOM,5752,63430.658077,51979.388552,130463.256248,82313.647844,0.809791,8.137279,18930.594243
hedonic_ridge,flat_type,EXECUTIVE,1470,68474.016881,55719.449422,138470.801282,87939.181535,0.619425,7.394046,15572.246042
hedonic_ridge,flat_type,MULTI-GENERATION,4,92245.710466,83995.110043,111150.678322,93918.352269,-6.895413,8.085017,-8250.600423
hedonic_ridge,price_band,$1m and above,1812,97162.242696,86817.194606,194922.762498,120565.971674,0.225603,8.392113,-53158.099449
hedonic_ridge,price_band,$300k-$399k,1977,45423.724749,36082.349280,100668.884789,58356.759107,-4.038509,12.782659,32142.534110
hedonic_ridge,price_band,$400k-$499k,3389,37526.117841,30384.144153,77880.160856,48031.276200,-1.589573,8.423492,12106.764048
hedonic_ridge,price_band,$500k-$699k,10284,46047.873073,37638.063662,96541.307255,58732.304205,-0.111247,7.706089,26756.352199
hedonic_ridge,price_band,$700k-$999k,7027,61002.027996,50760.924383,124462.587848,77835.240616,0.137026,7.467880,8435.182018
hedonic_ridge,price_band,Below $300k,103,41608.931702,30834.623371,98452.460143,54896.558972,-19.770793,14.815020,36737.493670
hedonic_ridge,remaining_lease_band,50-59 years,5460,44556.700659,34876.744492,93911.564137,58886.559167,0.865638,8.383175,12091.761781
hedonic_ridge,remaining_lease_band,60-69 years,4207,49341.205399,38916.030357,107613.861979,65710.669997,0.895637,6.976944,6822.583772
hedonic_ridge,remaining_lease_band,70-79 years,4852,54826.517933,42350.209056,115229.257833,72645.047132,0.790251,7.935433,21678.542974
hedonic_ridge,remaining_lease_band,80-89 years,3796,52756.100817,41613.804713,112303.907411,69507.264478,0.905942,7.302258,11156.064664
hedonic_ridge,remaining_lease_band,90 years and above,4617,61864.314205,51934.587956,124816.269477,79214.017218,0.866626,8.115665,8764.031187
hedonic_ridge,remaining_lease_band,Below 50 years,1660,58297.589897,47846.738394,117613.942360,74578.331785,0.789718,14.133101,38405.768545
hedonic_ridge,town,ANG MO KIO,886,49180.541242,41835.145395,98101.937194,62410.926154,0.942913,7.963415,-189.486953
hedonic_ridge,town,BEDOK,1252,47059.907527,36194.127262,98669.361694,65144.708677,0.909167,7.505365,16287.991888
hedonic_ridge,town,BISHAN,394,62951.635931,50024.482095,123880.528922,82003.680723,0.901870,7.762331,36347.217687
hedonic_ridge,town,BUKIT BATOK,1385,49719.366170,44438.622127,99246.006017,61228.369633,0.873447,8.131398,41521.347523
hedonic_ridge,town,BUKIT MERAH,899,95654.947198,85855.596932,184970.235565,116671.175730,0.853588,14.428864,48314.966685
hedonic_ridge,town,BUKIT PANJANG,782,53229.250795,41009.015667,112960.063049,69727.563034,0.759476,8.243400,11523.351778
hedonic_ridge,town,BUKIT TIMAH,56,59798.531073,52381.415237,113971.040025,70438.700375,0.939108,7.207880,34175.821141
hedonic_ridge,town,CENTRAL AREA,177,83015.384591,62555.481285,177042.671259,108848.240592,0.922522,11.514323,47899.734005
hedonic_ridge,town,CHOA CHU KANG,1005,39485.079725,33986.858436,76872.688087,49169.913747,0.803803,6.601483,8943.587675
hedonic_ridge,town,CLEMENTI,519,78824.909406,65200.796559,166799.295873,100901.082144,0.900157,12.036044,11098.466291
hedonic_ridge,town,GEYLANG,680,62111.877380,49340.065667,122778.572500,83008.894104,0.901221,10.431681,7896.724207
hedonic_ridge,town,HOUGANG,1244,52631.892871,42729.291934,107516.549042,67924.171421,0.851016,7.979714,5331.973357
hedonic_ridge,town,JURONG EAST,464,50090.795882,37281.922457,113393.046482,67582.903383,0.845852,9.087749,36797.449317
hedonic_ridge,town,JURONG WEST,1474,49103.970891,39332.780393,106636.892457,63341.859174,0.758442,8.684939,29759.645030
hedonic_ridge,town,KALLANG/WHAMPOA,728,63608.907597,51674.701558,126486.273501,80972.323248,0.920871,9.521139,20784.866297
hedonic_ridge,town,MARINE PARADE,139,64237.913128,59745.236248,125608.564923,77888.902239,0.883058,11.151713,36274.771899
hedonic_ridge,town,PASIR RIS,749,42701.264817,36939.244725,84786.288136,54531.155987,0.842646,5.739611,4958.673985
hedonic_ridge,town,PUNGGOL,1640,42734.716961,35310.189492,89583.019733,54943.659806,0.829109,6.265458,6674.564354
hedonic_ridge,town,QUEENSTOWN,726,69863.410371,63952.116804,133489.252987,83885.135182,0.934948,11.460693,41769.641944
hedonic_ridge,town,SEMBAWANG,884,43542.705578,33040.408736,91308.127180,57382.155520,0.772963,7.170193,-5267.259249
hedonic_ridge,town,SENGKANG,1731,50245.262261,36728.645946,108034.191302,68858.155339,0.689333,7.189900,-2855.399537
hedonic_ridge,town,SERANGOON,372,74967.982021,70492.605414,146249.681162,91355.897933,0.805331,10.406344,-3229.075336
hedonic_ridge,town,TAMPINES,1983,47482.108492,39046.424595,96528.617278,60457.106669,0.858320,6.588388,21536.154433
hedonic_ridge,town,TOA PAYOH,1003,78096.331214,70487.786872,147505.671786,95319.638414,0.917008,11.481986,-13177.933663
hedonic_ridge,town,WOODLANDS,1835,33920.886642,27237.967957,70785.167609,44234.803245,0.911651,5.699056,-2489.031326
hedonic_ridge,town,YISHUN,1585,49012.527737,41324.048858,102450.349574,61410.003378,0.783735,8.614896,15527.848843
prior_12m_town_flat_type_median_baseline,flat_type,1 ROOM,9,10222.222222,7000.000000,21822.400000,13467.232199,-0.138123,4.031094,4691.555556
prior_12m_town_flat_type_median_baseline,flat_type,2 ROOM,750,26761.568000,18000.000000,50100.000000,46059.496060,0.117811,6.786482,-12786.666667
prior_12m_town_flat_type_median_baseline,flat_type,3 ROOM,5790,71350.002591,40000.000000,182000.000000,118792.674338,-0.021819,13.396614,-32446.332815
prior_12m_town_flat_type_median_baseline,flat_type,4 ROOM,10817,86985.456984,58000.000000,200000.000000,127666.560514,0.450933,12.589907,-10776.218378
prior_12m_town_flat_type_median_baseline,flat_type,5 ROOM,5752,93106.632361,65000.000000,202000.000000,135483.696591,0.484698,11.023674,-25370.841172
prior_12m_town_flat_type_median_baseline,flat_type,EXECUTIVE,1470,70603.025102,53500.000000,150000.000000,95589.953185,0.550324,7.302657,-24903.366735
prior_12m_town_flat_type_median_baseline,flat_type,MULTI-GENERATION,4,76750.000000,68000.000000,149000.000000,100245.947549,-7.995133,6.619250,-76750.000000
prior_12m_town_flat_type_median_baseline,price_band,$1m and above,1812,204289.986512,171500.000000,423000.000000,248269.683971,-2.283684,17.346720,-193171.774592
prior_12m_town_flat_type_median_baseline,price_band,$300k-$399k,1977,46504.063227,43000.000000,86200.000000,57446.778427,-3.882599,13.279325,41961.795144
prior_12m_town_flat_type_median_baseline,price_band,$400k-$499k,3389,45040.879020,27556.000000,96360.000000,76823.770373,-5.624775,9.893164,18490.571555
prior_12m_town_flat_type_median_baseline,price_band,$500k-$699k,10284,61985.948011,42000.000000,125000.000000,92567.938879,-1.760435,10.470570,15844.544277
prior_12m_town_flat_type_median_baseline,price_band,$700k-$999k,7027,107661.291382,78888.000000,239112.000000,146996.850404,-2.077948,13.142840,-65518.851074
prior_12m_town_flat_type_median_baseline,price_band,Below $300k,103,49410.330097,28000.000000,136400.000000,68457.210195,-31.299903,17.472041,48868.815534
prior_12m_town_flat_type_median_baseline,remaining_lease_band,50-59 years,5460,67095.140110,42000.000000,150000.000000,104271.972581,0.578712,11.984199,37851.644139
prior_12m_town_flat_type_median_baseline,remaining_lease_band,60-69 years,4207,55859.580699,40000.000000,120000.000000,79130.424082,0.848658,7.836999,618.926076
prior_12m_town_flat_type_median_baseline,remaining_lease_band,70-79 years,4852,66594.450742,50000.000000,139090.800000,94921.856834,0.641888,9.459437,6274.393133
prior_12m_town_flat_type_median_baseline,remaining_lease_band,80-89 years,3796,98534.522129,62000.000000,238112.000000,142657.017013,0.603794,12.106840,-84958.949884
prior_12m_town_flat_type_median_baseline,remaining_lease_band,90 years and above,4617,120364.073736,80000.000000,314400.000000,170867.918265,0.379433,14.648602,-114665.222534
prior_12m_town_flat_type_median_baseline,remaining_lease_band,Below 50 years,1660,96162.171687,60000.000000,259499.600000,149665.804532,0.153118,21.178181,69499.956024
prior_12m_town_flat_type_median_baseline,town,ANG MO KIO,886,114388.872325,47000.000000,374000.000000,181898.045197,0.515081,14.339966,-73121.617246
prior_12m_town_flat_type_median_baseline,town,BEDOK,1252,99520.287540,55000.000000,257911.200000,150136.613697,0.517543,14.068160,-49576.210863
prior_12m_town_flat_type_median_baseline,town,BISHAN,394,98042.895939,70000.000000,190000.000000,144377.594618,0.695817,11.595534,-12116.002538
prior_12m_town_flat_type_median_baseline,town,BUKIT BATOK,1385,61949.950181,50000.000000,137000.000000,81075.409542,0.778106,10.157959,-9944.608664
prior_12m_town_flat_type_median_baseline,town,BUKIT MERAH,899,148109.112347,110000.000000,340022.400000,194241.884931,0.594179,20.223686,-17872.355951
prior_12m_town_flat_type_median_baseline,town,BUKIT PANJANG,782,66699.902813,52250.000000,135000.000000,87688.214860,0.619607,10.257803,-14541.145780
prior_12m_town_flat_type_median_baseline,town,BUKIT TIMAH,56,87160.785714,69722.000000,188166.000000,108080.564333,0.856638,9.715204,26993.642857
prior_12m_town_flat_type_median_baseline,town,CENTRAL AREA,177,206045.536723,90000.000000,623667.200000,311999.085959,0.363437,27.073725,138221.355932
