year,python_median,sql_median,absolute_difference_sgd,matches_within_tolerance,tolerance_sgd
2017,410000.000000,410000.000000,0.000000,True,0.010000
2018,408000.000000,408000.000000,0.000000,True,0.010000
2019,400000.000000,400000.000000,0.000000,True,0.010000
2020,425000.000000,425000.000000,0.000000,True,0.010000
2021,483000.000000,483000.000000,0.000000,True,0.010000
2022,525000.000000,525000.000000,0.000000,True,0.010000
2023,550000.000000,550000.000000,0.000000,True,0.010000
2024,590000.000000,590000.000000,0.000000,True,0.010000
2025,628000.000000,628000.000000,0.000000,True,0.010000
2026,630000.000000,630000.000000,0.000000,True,0.010000
