month,transactions,raw_median_price,raw_price_index,quality_adjusted_price_index,raw_monthly_change_pct,quality_adjusted_monthly_change_pct,raw_change_from_base_pct,quality_adjusted_change_from_base_pct
2017-01-01,1185,405000.000000,100.000000,100.000000,,,0.000000,0.000000
2017-02-01,1085,415000.000000,102.469136,99.107191,2.469136,-0.892809,2.469136,-0.892809
2017-03-01,1903,415000.000000,102.469136,99.763177,0.000000,0.661895,2.469136,-0.236823
2017-04-01,1839,408000.000000,100.740741,99.475439,-1.686747,-0.288420,0.740741,-0.524561
2017-05-01,1980,410000.000000,101.234568,99.519039,0.490196,0.043829,1.234568,-0.480961
2017-06-01,1747,415000.000000,102.469136,99.229266,1.219512,-0.291173,2.469136,-0.770734
2017-07-01,1780,405000.000000,100.000000,99.043203,-2.409639,-0.187508,0.000000,-0.956797
2017-08-01,1960,415000.000000,102.469136,98.791014,2.469136,-0.254625,2.469136,-1.208986
2017-09-01,1680,418000.000000,103.209877,98.621480,0.722892,-0.171609,3.209877,-1.378520
2017-10-01,1785,410000.000000,101.234568,98.707920,-1.913876,0.087648,1.234568,-1.292080
2017-11-01,1980,410000.000000,101.234568,99.000699,0.000000,0.296611,1.234568,-0.999301
2017-12-01,1585,418000.000000,103.209877,98.401108,1.951220,-0.605643,3.209877,-1.598892
2018-01-01,1072,415000.000000,102.469136,98.488357,-0.717703,0.088666,2.469136,-1.511643
2018-02-01,1183,408000.000000,100.740741,97.848524,-1.686747,-0.649653,0.740741,-2.151476
2018-03-01,1881,418000.000000,103.209877,98.083284,2.450980,0.239922,3.209877,-1.916716
2018-04-01,1838,410000.000000,101.234568,98.054474,-1.913876,-0.029373,1.234568,-1.945526
2018-05-01,1740,412000.000000,101.728395,97.992145,0.487805,-0.063566,1.728395,-2.007855
2018-06-01,1975,410000.000000,101.234568,98.146346,-0.485437,0.157361,1.234568,-1.853654
2018-07-01,2539,415000.000000,102.469136,97.908116,1.219512,-0.242729,2.469136,-2.091884
2018-08-01,2067,405000.000000,100.000000,98.219259,-2.409639,0.317790,0.000000,-1.780741
2018-09-01,1985,400000.000000,98.765432,97.538258,-1.234568,-0.693348,-1.234568,-2.461742
2018-10-01,1992,398500.000000,98.395062,97.806023,-0.375000,0.274523,-1.604938,-2.193977
2018-11-01,1866,395500.000000,97.654321,97.937928,-0.752823,0.134864,-2.345679,-2.062072
2018-12-01,1423,395000.000000,97.530864,97.759478,-0.126422,-0.182208,-2.469136,-2.240522
2019-01-01,1550,395000.000000,97.530864,97.540119,0.000000,-0.224386,-2.469136,-2.459881
2019-02-01,1304,393000.000000,97.037037,97.826032,-0.506329,0.293124,-2.962963,-2.173968
2019-03-01,1653,400000.000000,98.765432,97.844953,1.781170,0.019342,-1.234568,-2.155047
2019-04-01,1915,400000.000000,98.765432,97.533563,0.000000,-0.318249,-1.234568,-2.466437
2019-05-01,2070,400000.000000,98.765432,97.543852,0.000000,0.010549,-1.234568,-2.456148
2019-06-01,1884,400000.000000,98.765432,97.916362,0.000000,0.381890,-1.234568,-2.083638
2019-07-01,2114,405000.000000,100.000000,98.020223,1.250000,0.106071,0.000000,-1.979777
2019-08-01,1902,405000.000000,100.000000,98.091116,0.000000,0.072325,0.000000,-1.908884
2019-09-01,1830,400000.000000,98.765432,97.942565,-1.234568,-0.151441,-1.234568,-2.057435
2019-10-01,2206,400444.000000,98.875062,98.154097,0.111000,0.215975,-1.124938,-1.845903
2019-11-01,1910,405000.000000,100.000000,98.739935,1.137737,0.596856,0.000000,-1.260065
2019-12-01,1848,405000.000000,100.000000,98.698509,0.000000,-0.041955,0.000000,-1.301491
2020-01-01,1911,400000.000000,98.765432,98.276214,-1.234568,-0.427864,-1.234568,-1.723786
2020-02-01,1661,408000.000000,100.740741,99.022011,2.000000,0.758879,0.740741,-0.977989
2020-03-01,1937,412000.000000,101.728395,98.662525,0.980392,-0.363037,1.728395,-1.337475
2020-04-01,424,424000.000000,104.691358,98.241401,2.912621,-0.426833,4.691358,-1.758599
2020-05-01,363,430000.000000,106.172840,98.909251,1.415094,0.679805,6.172840,-1.090749
2020-06-01,2438,405000.000000,100.000000,98.745808,-5.813953,-0.165245,0.000000,-1.254192
2020-07-01,2456,413000.000000,101.975309,99.370270,1.975309,0.632393,1.975309,-0.629730
2020-08-01,2426,425000.000000,104.938272,100.513853,2.905569,1.150830,4.938272,0.513853
2020-09-01,2482,431000.000000,106.419753,102.075791,1.411765,1.553953,6.419753,2.075791
2020-10-01,2427,450000.000000,111.111111,103.660253,4.408353,1.552241,11.111111,3.660253
2020-11-01,2322,446888.000000,110.342716,104.430977,-0.691556,0.743509,10.342716,4.430977
2020-12-01,2486,450500.000000,111.234568,105.322055,0.808256,0.853270,11.234568,5.322055
2021-01-01,2491,460000.000000,113.580247,106.593363,2.108768,1.207067,13.580247,6.593363
2021-02-01,2160,460000.000000,113.580247,107.695112,0.000000,1.033600,13.580247,7.695112
2021-03-01,2443,465000.000000,114.814815,108.749965,1.086957,0.979481,14.814815,8.749965
2021-04-01,2333,472000.000000,116.543210,109.771042,1.505376,0.938922,16.543210,9.771042
2021-05-01,1957,480000.000000,118.518519,111.331771,1.694915,1.421804,18.518519,11.331771
2021-06-01,2302,482000.000000,119.012346,112.260775,0.416667,0.834447,19.012346,12.260775
2021-07-01,2659,480000.000000,118.518519,113.352362,-0.414938,0.972367,18.518519,13.352362
2021-08-01,2739,490000.000000,120.987654,114.782133,2.083333,1.261350,20.987654,14.782133
2021-09-01,2516,492000.000000,121.481481,115.600079,0.408163,0.712607,21.481481,15.600079
2021-10-01,2499,500000.000000,123.456790,117.084508,1.626016,1.284108,23.456790,17.084508
2021-11-01,2566,503000.000000,124.197531,118.393029,0.600000,1.117587,24.197531,18.393029
2021-12-01,2422,505000.000000,124.691358,119.611248,0.397614,1.028962,24.691358,19.611248
2022-01-01,2442,500000.000000,123.456790,120.604600,-0.990099,0.830483,23.456790,20.604600
2022-02-01,1895,508000.000000,125.432099,121.291021,1.600000,0.569150,25.432099,21.291021
2022-03-01,2262,510000.000000,125.925926,122.228277,0.393701,0.772733,25.925926,22.228277
2022-04-01,2262,520000.000000,128.395062,123.921406,1.960784,1.385219,28.395062,23.921406
2022-05-01,2154,520000.000000,128.395062,124.792537,0.000000,0.702970,28.395062,24.792537
2022-06-01,2135,530000.000000,130.864198,126.142802,1.923077,1.082008,30.864198,26.142802
2022-07-01,2361,530000.000000,130.864198,127.199974,0.000000,0.838075,30.864198,27.199974
2022-08-01,2309,522000.000000,128.888889,127.623236,-1.509434,0.332753,28.888889,27.623236
2022-09-01,2578,538000.000000,132.839506,129.401088,3.065134,1.393048,32.839506,29.401088
2022-10-01,1958,542750.000000,134.012346,130.425838,0.882900,0.791917,34.012346,30.425838
2022-11-01,2130,538000.000000,132.839506,131.155928,-0.875173,0.559774,32.839506,31.155928
2022-12-01,2234,530000.000000,130.864198,132.047126,-1.486989,0.679495,30.864198,32.047126
2023-01-01,2551,535000.000000,132.098765,132.377753,0.943396,0.250385,32.098765,32.377753
2023-02-01,1837,535800.000000,132.296296,132.451053,0.149533,0.055372,32.296296,32.451053
2023-03-01,2277,543800.000000,134.271605,133.088834,1.493094,0.481522,34.271605,33.088834
2023-04-01,2177,550000.000000,135.802469,134.076140,1.140125,0.741839,35.802469,34.076140
2023-05-01,2245,550000.000000,135.802469,135.085037,0.000000,0.752481,35.802469,35.085037
2023-06-01,1853,550000.000000,135.802469,135.718695,0.000000,0.469081,35.802469,35.718695
2023-07-01,2052,555000.000000,137.037037,136.465614,0.909091,0.550344,37.037037,36.465614
2023-08-01,2467,555000.000000,137.037037,136.565133,0.000000,0.072926,37.037037,36.565133
2023-09-01,1974,550000.000000,135.802469,136.704910,-0.900901,0.102352,35.802469,36.704910
