remaining_lease_band,lease_bin_start_years,lease_bin_end_years,transaction_count,p25,median_resale_price,p75
35-39 years,35,39,53,310000.000000,318000.000000,340000.000000
40-44 years,40,44,1735,305000.000000,335000.000000,365000.000000
45-49 years,45,49,5901,280000.000000,340000.000000,420000.000000
50-54 years,50,54,14155,333000.000000,406000.000000,500000.000000
55-59 years,55,59,23953,340000.000000,420000.000000,533000.000000
60-64 years,60,64,32015,360000.000000,450000.000000,580000.000000
65-69 years,65,69,25512,342000.000000,465000.000000,638000.000000
70-74 years,70,74,22805,498000.000000,586000.000000,698888.000000
75-79 years,75,79,27299,436000.000000,530000.000000,625000.000000
80-84 years,80,84,17558,396000.000000,468000.000000,595000.000000
85-89 years,85,89,14654,500000.000000,628000.000000,765000.000000
90-94 years,90,94,47769,460000.000000,576000.000000,710000.000000
95-99 years,95,99,6568,420000.000000,500888.000000,620000.000000
